Entity,Year,Liver cancer,Kidney cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx cancer,Gallbladder and biliary tract cancer,Malignant skin melanoma,Leukemia,Hodgkin lymphoma,Multiple myeloma,Other neoplasms,Breast cancer,Prostate cancer,Thyroid cancer,Stomach cancer,Bladder cancer,Uterine cancer,Ovarian cancer,Cervical cancer,Brain and central nervous system cancer,Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
Australia,60135,30253,31839,26536,238464,7176,13875,37114,43163,2263,26153,17244,91508,99237,3812,43410,29632,11737,27724,10465,36591,48835,69574,37108,802,2930,8532,157929,14877,17102
Austria,60135,18879,16640,8018,112065,4961,12597,9500,21154,1518,9971,7169,52199,41395,2717,41117,18116,7059,17765,8893,14610,17253,46550,11868,534,996,5018,84958,2670,2543
Azerbaijan,60135,8638,6697,1860,46865,5923,2121,916,12718,1927,1111,336,21548,8661,921,48280,4625,3470,3823,8389,10743,3282,10446,17637,343,400,738,20745,1105,229
Bahamas,60135,297,167,228,1128,188,169,76,327,30,345,56,1646,1823,44,770,123,223,279,565,161,348,294,404,0,42,134,1269,43,30
Bahrain,60135,601,259,162,2468,152,124,29,869,124,191,83,1670,511,69,796,411,119,413,211,413,514,709,261,0,76,43,1221,44,33
Bangladesh,60135,69393,12596,104938,176821,64764,42032,4167,97331,17147,14851,4675,182412,73200,12507,178016,23480,10227,31434,89070,59813,39954,37471,100886,3839,27591,80484,95792,7054,3265
Barbados,60135,282,290,219,1056,146,237,53,520,30,618,50,2105,3611,71,1369,288,433,314,850,185,624,663,556,0,59,149,2396,52,30
Belarus,60135,9517,15871,15284,126965,14493,5972,6233,22637,2580,5199,1233,43844,26728,2717,99553,14400,8581,16553,18253,12512,7957,26915,13500,557,1447,7612,79053,3658,1479
Belgium,60135,19334,21412,10597,223967,9021,8167,9076,31481,1820,17176,8346,86402,67547,3448,41319,33234,9733,24497,9564,21628,25193,50989,24552,444,1592,5980,118087,3560,6768
Belize,60135,171,95,64,630,75,90,22,230,36,41,14,325,797,15,548,94,115,64,545,108,115,255,113,0,20,34,445,41,26
Benin,60135,5713,1358,1325,9566,1101,1048,336,6120,440,721,303,7727,9073,281,12525,2502,1058,1242,12004,2104,3727,3476,4203,126,309,297,6107,299,129
Bermuda,60135,80,75,66,765,49,37,55,103,0,72,32,388,522,30,191,140,60,110,72,63,124,237,131,0,7,30,565,21,23
Bhutan,60135,338,87,566,828,272,281,29,523,70,102,35,715,386,82,986,136,77,228,562,323,255,259,562,30,129,442,618,37,20
Bolivia,60135,8296,3202,2148,22364,2235,11839,2486,15659,1422,3019,584,17169,21809,2660,63516,3773,4668,3621,25487,6215,8436,6757,4049,732,463,717,16655,1968,645
Bosnia and Herzegovina,60135,11426,4564,2594,63862,4891,5928,2157,5771,802,1762,443,15444,9516,717,18195,6136,2755,5392,4978,9460,3123,13667,3561,303,274,1748,28620,918,286
Botswana,60135,466,371,1117,6103,735,301,219,1369,53,516,157,4185,4079,30,2876,705,486,764,4746,664,782,1573,4099,70,141,308,3528,161,244
